Slug,Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Название фото,S3_Key,Signed_Image_URL,Sweetness,Body,Acidity,Oak,Aroma_Tags,Flavor_Tags,Pairings
usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15,4 elements. Каберне Совиньон,Красное,Темно-рубиновый,Крым,Каберне Совиньон,"Вкус: Насыщенный ягодный. Ноты черных ягод, пыльная комната, слива, шелковица.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_kaberne_sovinon_krasnoe_suhoe_15_0d55114014.webp,catalog/usadba_rodnoe_gnezdo_4_elements_kaberne_sovinon_krasnoe_suhoe_15_0d55114014.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_kaberne_sovinon_krasnoe_suhoe_15_0d55114014.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=sQAtee84SckhgjbFYUYd9WnDO3A%3D&Expires=2105631332,1.2,4.0,3.0,2.5,слива,слива,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12,4 elements. Рислинг,Белое,Соломенный,Крым,Рислинг,"Вкус: Фруктовый с выраженной кислотностью. Зеленое яблоко, свежескошенная трава, полевые цветы.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_risling_beloe_suhoe_12_815bd0df08.webp,catalog/usadba_rodnoe_gnezdo_4_elements_risling_beloe_suhoe_12_815bd0df08.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_risling_beloe_suhoe_12_815bd0df08.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=RQZ1BItzPW16yioI6nTAIGi%2BQ%2Bg%3D&Expires=2105631332,1.2,2.2,3.8,1.3,"зеленое яблоко, яблоко",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12,4 elements. Рислинг,Белое,Светло-соломенный,Крым,Рислинг,"Вкус: Округлое с выраженной кислотностью. Персик, медовые тона, зеленое яблоко, свежескошенная трава, полевые цветы, сладкие ароматы.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_risling_beloe_polusuhoe_12_3621a7b684.webp,catalog/usadba_rodnoe_gnezdo_4_elements_risling_beloe_polusuhoe_12_3621a7b684.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_risling_beloe_polusuhoe_12_3621a7b684.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=3CWV7FU628bl0KhRA9zB5bSMU6c%3D&Expires=2105631332,1.2,3.6,3.8,1.3,"зеленое яблоко, яблоко, персик, мед",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135,4 elements. Сира. Розе,Розовое,Лососевый,Крым,Сира,"Вкус: Насыщенный ягодный со сливочными нотами. Барбарис, клубника, земляника, сливки.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_sira_roze_rozovoe_polusuhoe_135_2c2c876bf4.webp,catalog/usadba_rodnoe_gnezdo_4_elements_sira_roze_rozovoe_polusuhoe_135_2c2c876bf4.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_sira_roze_rozovoe_polusuhoe_135_2c2c876bf4.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=E%2Fxfjob2wJF3xJmEr%2BrtILXOJGU%3D&Expires=2105631332,1.2,2.4,3.2,1.3,"клубника, земляника",,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12,4 elements. Совиньон Блан,Белое,Светло-соломенный,Крым,Совиньон Блан,"Вкус: Насыщенный с тонкими медовыми тонами. Мед, Дюшес, груша, лимонад, зеленое яблоко.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_polusladkoe_12_5007538dcc.webp,catalog/usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_polusladkoe_12_5007538dcc.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_polusladkoe_12_5007538dcc.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=%2FLAqr0ax%2FguJfOtiE184YbGYtjA%3D&Expires=2105631332,1.2,2.2,3.8,1.3,"зеленое яблоко, яблоко, груша, мед, лимон",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12,4 elements. Совиньон Блан,Белое,Соломенный,Крым,Совиньон Блан,"Вкус: Свежий, фруктовый. Лист крыжовника, травы, тропики.",Усадьба Родное Гнездо,usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_suhoe_12_38c66cd229.webp,catalog/usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_suhoe_12_38c66cd229.webp,https://firsts3.ru/wine-hack/catalog/usadba_rodnoe_gnezdo_4_elements_sovinon_blan_beloe_suhoe_12_38c66cd229.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=st9LeY6Wv7O%2B5uPWgNS21pgfes4%3D&Expires=2105631332,1.2,2.2,3.8,1.3,полевые травы,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125,5 elements Брют белое,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,"Пино Гри, Рислинг, Шардоне","В аромате цветы, фрукты, цитрусы. Вкус свежий, чистый, гармоничный, фруктовый.",Фанагория,fanagoriya_5_elements_bryut_beloe_pino_gri_igristoe_bryut_beloe_125_d7497bb817.webp,catalog/fanagoriya_5_elements_bryut_beloe_pino_gri_igristoe_bryut_beloe_125_d7497bb817.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_5_elements_bryut_beloe_pino_gri_igristoe_bryut_beloe_125_d7497bb817.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=Q5fZzn%2Bv%2Bp3bq1KxkVbfBknjrhA%3D&Expires=2105631332,1.2,2.2,3.8,1.3,,,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125,5 elements Брют розовое,Розовое,Розовый,Кубань,"Каберне Совиньон, Мерло, Саперави","В аромате ягодные ноты, малина, клубника, красная смородина и нотки цветущей вербы. Вкус свежий, бодрящий, живая кислотность.",Фанагория,fanagoriya_5_elements_bryut_rozovoe_saperavi_igristoe_bryut_rozovoe_125_89ce2d6975.webp,catalog/fanagoriya_5_elements_bryut_rozovoe_saperavi_igristoe_bryut_rozovoe_125_89ce2d6975.webp,https://firsts3.ru/wine-hack/catalog/fanagoriya_5_elements_bryut_rozovoe_saperavi_igristoe_bryut_rozovoe_125_89ce2d6975.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=OEYBRlMXmd9Xr2pawONbqO9z%2F9M%3D&Expires=2105631332,1.2,2.4,3.2,1.3,"малина, клубника",,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12,50/50 Цимлянский-Сибирьковый Экстра брют,Белое,Бледно-желтый,Долина Дона,"Сибирьковый, Цимлянский черный","В аромате минеральные ноты мела и кремния, тона выпечки и тостов с конфитюром. Вкус чистый, хрустящий, свежий с элегантной текстурой, фруктовыми и минеральными оттенками, живой кислотностью и бодрящим послевкусием.",Ведерниковъ,vinodelnya_vedernikov_5050_tsimlyanskiy_sibirkovyy_ekstra_bryut_beloe_12_9cb05a5a09.webp,catalog/vinodelnya_vedernikov_5050_tsimlyanskiy_sibirkovyy_ekstra_bryut_beloe_12_9cb05a5a09.webp,https://firsts3.ru/wine-hack/catalog/vinodelnya_vedernikov_5050_tsimlyanskiy_sibirkovyy_ekstra_bryut_beloe_12_9cb05a5a09.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=y%2B04q1bm%2B9WahEv8lP8f5Of86yY%3D&Expires=2105631332,1.2,2.2,4.5,4.2,минералы,минералы,Морепродукты: Свежие черноморские устрицы и гребешки; Рыба: Сибас или дорадо на гриле с травами
shato-pino-agpoezdnik-beloe-shardone-suhoe-13,A.G.Poezdnik. Белое,Белое,Золотистый,Кубань,Шардоне,"Вкус: Минеральный, свежий с преобладанием тропических фруктов и груши. Яркий с медово-цветочными нотами, переходящие в ноты засахаренной цедры.",Шато Пино,shato_pino_beloe_shardone_beloe_suhoe_13_8b4d6eb365.webp,catalog/shato_pino_beloe_shardone_beloe_suhoe_13_8b4d6eb365.webp,https://firsts3.ru/wine-hack/catalog/shato_pino_beloe_shardone_beloe_suhoe_13_8b4d6eb365.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=6m%2BOGxyMTo%2Fo2AcgDgzaubliRg0%3D&Expires=2105631332,1.2,2.2,4.5,1.3,"груша, мед, минералы",минералы,Морепродукты: Свежие черноморские устрицы и гребешки; Рыба: Сибас или дорадо на гриле с травами
shato-pino-agpoezdnik-krasnoe-kaberne-fran-suhoe-14,A.G.Poezdnik. Красное,Красное,Темно-гранатовый,Кубань,Каберне Фран,"Вкус: Сбалансированный, с вишневыми нотами и оттенками дуба. Продолжительное послевкусие. Спелые фрукты и ягоды: слива, красная смородина, кизил",Шато Пино,shato_pino_krasnoe_kaberne_fran_krasnoe_suhoe_14_074ad489ef.webp,catalog/shato_pino_krasnoe_kaberne_fran_krasnoe_suhoe_14_074ad489ef.webp,https://firsts3.ru/wine-hack/catalog/shato_pino_krasnoe_kaberne_fran_krasnoe_suhoe_14_074ad489ef.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=66dNT%2FqSjzCxMvT3FUYTFeLl49Q%3D&Expires=2105631332,1.2,4.0,3.0,4.2,"вишня, слива, дуб",слива,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105,Abrau Estates Амурский Потапенко,Красное,Рубиновый с пурпурным оттенком,Кубань,Амурский Потапенко,"В аромате цветочные ноты пионов и фиалок, тона черных ягод и фруктов – шелковицы, черной смородины и ежевики с нюансами пряностей. Во вкусе ноты синей сливы, черешни, черной смородины. Послевкусие с яркими танинами и тонкой пряностью.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_amurskiy_potapenko_krasnoe_suhoe_105_a70c9cabe2.webp,catalog/abrau_dyurso_abrau_estates_amurskiy_potapenko_krasnoe_suhoe_105_a70c9cabe2.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_amurskiy_potapenko_krasnoe_suhoe_105_a70c9cabe2.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=suEBudjmK4TqgBgVACyBlGCPsx0%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"черная смородина, черешня, ежевика, слива",слива,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12,Abrau Estates белое,Белое,Светло-соломенный,Кубань,"Рислинг, Уньи блан, Шардоне","В аромате ноты белого персика, свежих тропических фруктов, средиземноморских специй и лаванды. В аромате тона грейпфрута, экзотических фруктов и белой дыни с яркой, живой кислотностью и ярким послевкусием.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_beloe_shardone_suhoe_12_6c1aeb2039.webp,catalog/abrau_dyurso_abrau_estates_beloe_shardone_suhoe_12_6c1aeb2039.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_beloe_shardone_suhoe_12_6c1aeb2039.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=DHS9JybBiW2wJNi1ty2x6T2rLOE%3D&Expires=2105631332,1.2,2.2,3.8,1.3,"персик, грейпфрут",,Птица: Цыпленок в сливочно-чесночном соусе; Сыры: Молодой козий сыр или Бри
abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105,Abrau Estates Каберне по-белому,Белое,Соломенный с розовым оттенком,Кубань,Каберне Совиньон,"В аромате тона белой сливы, крыжовника и весенних первоцветов. Во вкусе ягодные оттенки с нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_kaberne_po_belomu_kaberne_sovinon_beloe_suhoe_105_a340de7dd3.webp,catalog/abrau_dyurso_abrau_estates_kaberne_po_belomu_kaberne_sovinon_beloe_suhoe_105_a340de7dd3.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_kaberne_po_belomu_kaberne_sovinon_beloe_suhoe_105_a340de7dd3.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=YJbGOa9xZTubtrbWrsNc8shmv4E%3D&Expires=2105631332,1.2,2.2,4.5,1.3,"слива, минералы","слива, минералы",Морепродукты: Свежие черноморские устрицы и гребешки; Рыба: Сибас или дорадо на гриле с травами
abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13,Abrau Estates красное,Красное,Тёмно-гранатовый,Кубань,"Каберне Совиньон, Мерло","В аромате фрукты, табак, чернослив, шоколад и мускатный орех. Вкус кислотный, свежий, с мягкими танинами, легкими животными и табачными нюансами в послевкусии.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_krasnoe_kaberne_sovinon_suhoe_13_1770f5150f.webp,catalog/abrau_dyurso_abrau_estates_krasnoe_kaberne_sovinon_suhoe_13_1770f5150f.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_krasnoe_kaberne_sovinon_suhoe_13_1770f5150f.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=p%2B9MVfLQsS1G1q1rv9J7ozcKHqY%3D&Expires=2105631332,1.2,4.0,3.0,2.5,"чернослив, шоколад, табак","шоколад, табак",Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105,Abrau Estates Оранж,Оранжевое,Янтарный,Кубань,Цитронный Магарача,"В аромате медовые и цитрусовые оттенки, ноты спелых и сочных белых фруктов, пряные тона полевых трав с нюансами мяты. Вкус сбалансированный с сочными, но тонкими танинами, цитрусовой легкой кислинкой и медовой сладостью.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_oranzh_tsitronnyy_magaracha_oranzhevoe_suhoe_105_95e00a834b.webp,catalog/abrau_dyurso_abrau_estates_oranzh_tsitronnyy_magaracha_oranzhevoe_suhoe_105_95e00a834b.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_oranzh_tsitronnyy_magaracha_oranzhevoe_suhoe_105_95e00a834b.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=qQpad%2BJNhgMFiMjlVnzOgEKJEEQ%3D&Expires=2105631332,1.2,3.0,3.2,1.3,мед,,
abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135,Abrau Estates. Достойный,Красное,Рубиновый,Кубань,Достойный,"В аромате джемовые ноты красных ягод: смородины, вишни, кизила и терна. тона сафьяна и тонкая копченая нота. Аромат яркий, объемный с ягодной свежестью, тонкой кислотностью и бархатными танинами.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_dostoynyy_krasnoe_suhoe_135_a2b9e120e4.webp,catalog/abrau_dyurso_abrau_estates_dostoynyy_krasnoe_suhoe_135_a2b9e120e4.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_dostoynyy_krasnoe_suhoe_135_a2b9e120e4.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=kKCCSIRGBJWxZ3Nk9LbL5EOasQo%3D&Expires=2105631332,1.2,4.0,3.0,2.5,вишня,,Мясо: Стейк рибай на углях с розмарином; Сыры: Выдержанный пармезан или твердый чеддер
abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12,Abrau Estates. Розе,Розовое,Нежно-розовый,Кубань,"Каберне Совиньон, Каберне Фран","В аромате тона свежей клубники, спелой малины и смородины. Вкус легкий, наполненный ягодными оттенками, отличается свежестью и хорошим балансом. Сочные ягодные оттенки дополнены нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau_dyurso_abrau_estates_roze_kaberne_sovinon_rozovoe_suhoe_12_416c8f123b.webp,catalog/abrau_dyurso_abrau_estates_roze_kaberne_sovinon_rozovoe_suhoe_12_416c8f123b.webp,https://firsts3.ru/wine-hack/catalog/abrau_dyurso_abrau_estates_roze_kaberne_sovinon_rozovoe_suhoe_12_416c8f123b.webp?AWSAccessKeyId=4TJ4OOLBHM05K7WSABIS&Signature=qAUbaYtRb6FpRdqj12PD3XQtY7I%3D&Expires=2105631332,1.2,2.4,3.2,1.3,"малина, клубника, минералы",минералы,Закуски: Брускетты с вялеными томатами и прошутто; Рыба: Тартар из лосося или креветки на гриле
